가로등위치명,위도,경도
세종특별자치시 소담동 27,36.4840495,127.3052603
세종특별자치시 보람동 700-27,36.4745301,127.2890241
세종특별자치시 소담동 27,36.4838978,127.3054848
세종특별자치시 보람동 700-27,36.4745709,127.2892164
세종특별자치시 소담동 27,36.4841599,127.3056553
세종특별자치시 보람동 700-27,36.4746027,127.289406
연기면 세종리 830,36.5008504,127.2963755
세종특별자치시 보람동 700-27,36.4746479,127.2895844
세종특별자치시 소담동 27,36.4840172,127.3059133
세종특별자치시 보람동 700-27,36.4746752,127.2897545
세종특별자치시 소담동 27,36.4838835,127.30616
세종특별자치시 보람동 700-27,36.4747205,127.2899524
세종특별자치시 대평동 484-50,36.465761,127.272982
세종특별자치시 보람동 700-27,36.4747432,127.290142
세종특별자치시 대평동 484-50,36.4660742,127.2711381
세종특별자치시 보람동 700-27,36.4747659,127.2902981
세종특별자치시 대평동 484-50,36.4661174,127.2708364
세종특별자치시 보람동 700-27,36.4747886,127.2904877
세종특별자치시 소담동 35-9,36.4858661,127.3019184
세종특별자치시 보람동 700-27,36.4748114,127.2906606
세종특별자치시 대평동 484-50,36.4658135,127.2727249
세종특별자치시 보람동 696,36.4748591,127.2910211
세종특별자치시 대평동 484-50,36.465926,127.2719651
세종특별자치시 보람동 696,36.4749165,127.2914194
세종특별자치시 대평동 484-50,36.4658735,127.2722222
세종특별자치시 보람동 696,36.4749339,127.2916004
세종특별자치시 대평동 484-50,36.4660219,127.2714286
세종특별자치시 보람동 696,36.4749739,127.2917869
세종특별자치시 소담동 27,36.4844254,127.3051478
세종특별자치시 보람동 696,36.4750139,127.2920125
세종특별자치시 대평동 484-50,36.4659695,127.2717081
세종특별자치시 보람동 696,36.4750561,127.2922046
세종특별자치시 대평동 484-50,36.465848,127.2724679
세종특별자치시 보람동 696,36.4750996,127.2923992
세종특별자치시 소담동 27,36.4845615,127.3049093
세종특별자치시 보람동 642-10,36.474576,127.2910074
세종특별자치시 소담동 27,36.4846949,127.3046568
세종특별자치시 보람동 642-10,36.4746022,127.2911822
세종특별자치시 소담동 27,36.4836484,127.3059337
세종특별자치시 보람동 642-10,36.474626,127.2913543
세종특별자치시 소담동 9-113,36.4826885,127.3074677
세종특별자치시 보람동 642-10,36.4746477,127.2915319
세종특별자치시 대평동 484-50,36.4664044,127.2691266
세종특별자치시 보람동 642-10,36.4746761,127.2917207
세종특별자치시 대평동 484-50,36.4663264,127.2681566
세종특별자치시 보람동 642-10,36.4747112,127.2919067
세종특별자치시 대평동 484-50,36.4662741,127.2684583
세종특별자치시 보람동 642-10,36.4747487,127.2920955
세종특별자치시 대평동 484-50,36.4659267,127.2705927
세종특별자치시 보람동 642-10,36.4747883,127.2922787
세종특별자치시 대평동 484-50,36.4657773,127.2712189
세종특별자치시 보람동 642-10,36.4748325,127.2924842
세종특별자치시 소담동 9-113,36.482139,127.3072964
세종특별자치시 보람동 642-10,36.4748857,127.2926701
세종특별자치시 소담동 9-113,36.4831919,127.3066294
세종특별자치시 보람동 642-10,36.4749367,127.2928644
세종특별자치시 대평동 484-50,36.4655915,127.2717897
세종특별자치시 보람동 642-10,36.4749989,127.2930503
세종특별자치시 대평동 484-50,36.466608,127.2685221
세종특별자치시 보람동 642-10,36.4750408,127.2932084
세종특별자치시 대평동 484-50,36.4652544,127.2726743
세종특별자치시 보람동 696,36.4751482,127.2925892
세종특별자치시 대평동 484-50,36.4654942,127.2720919
세종특별자치시 보람동 696,36.475203,127.2927697
세종특별자치시 대평동 580-1,36.4669383,127.2665329
세종특별자치시 보람동 696,36.4752633,127.2929841
세종특별자치시 대평동 580-1,36.4668504,127.266902
세종특별자치시 보람동 696,36.4753303,127.2931538
세종특별자치시 대평동 580-1,36.4671055,127.2658842
세종특별자치시 보람동 696,36.4753499,127.2933153
